# mostly taken from http://www.dot.gov.in/numbering_plan/nnp2003.pdf
# and http://en.wikipedia.org/wiki/Telephone_numbers_in_India

^+	plus
^00	idd
^0.	trunk

^9	cell

^1800	service

^100	emergency	police
^101	emergency	fire
^102	emergency	medical
^1298	emergency	medical
^103	emergency	traffic
^104	emergency	medical
^108	emergency	medical
^112	emergency	local emergency number

^2	local
^3	local
^4	local
^5	local
^6	local
^7	none	invalid
^8	none	invalid

9	cell
241	area	Ahmednagar	Ahmednagar, Ahmednagar
2421	area	Jamkhed	Jamkhed, Ahmednagar
2422	area	Shri Rampur	Shri Rampur, Ahmednagar
2423	area	Koparagon	Koparagon, Ahmednagar
2424	area	Akole	Akole, Ahmednagar
2425	area	Sangamner	Sangamner, Ahmednagar
2426	area	Rahuri	Rahuri, Ahmednagar
2427	area	Newasa	Newasa, Ahmednagar
2428	area	Pathardi	Pathardi, Ahmednagar
2429	area	Shevgaon	Shevgaon, Ahmednagar
2430	area	Sillod	Sillod, Aurangabad
2431	area	Paithan	Paithan, Aurangabad
2432	area	Aurangabad	Aurangabad, Aurangabad
2433	area	Gangapur	Gangapur, Aurangabad
2435	area	Kannad	Kannad, Aurangabad
2436	area	Vijapur	Vijapur, Aurangabad
2437	area	Khultabad	Khultabad, Aurangabad
2438	area	Soyegaon	Soyegaon, Aurangabad
2439	area	Golegaon	Golegaon, Aurangabad
2441	area	Ashti	Ashti, Bhir
2442	area	Bhir	Bhir, Bhir
2443	area	Manjalegaon	Manjalegaon, Bhir
2444	area	Patoda	Patoda, Bhir
2445	area	Kaij	Kaij, Bhir
2446	area	Ambejogai	Ambejogai, Bhir
2447	area	Gevrai	Gevrai, Bhir
2451	area	Pathari	Pathari, Parbhani
2452	area	Parbhani	Parbhani, Parbhani
2453	area	Gangakhed	Gangakhed, Parbhani
2454	area	Basmatnagar	Basmatnagar, Parbhani
2455	area	Kalamnuri	Kalamnuri, Parbhani
2456	area	Hingoli	Hingoli, Parbhani
2457	area	Jintdor	Jintdor, Parbhani
2460	area	Delhi Tanda	Delhi Tanda, Nanded
2461	area	Mukhed	Mukhed, Nanded
2462	area	Nanded	Nanded, Nanded
2463	area	Degloor	Degloor, Nanded
2465	area	Billoli	Billoli, Nanded
2466	area	Kandhar	Kandhar, Nanded
2467	area	Bhokar	Bhokar, Nanded
2468	area	Hadgaon	Hadgaon, Nanded
2469	area	Kinwat	Kinwat, Nanded
2471	area	Tuljapur	Tuljapur, Osmanabad
2472	area	Osmanabad	Osmanabad, Osmanabad
2473	area	Kallam	Kallam, Osmanabad
2475	area	Omerga	Omerga, Osmanabad
2477	area	Paranda	Paranda, Osmanabad
2478	area	Bhoom	Bhoom, Osmanabad
2481	area	Ner	Ner, Jalna
2482	area	Jalna	Jalna, Jalna
2483	area	Ambad	Ambad, Jalna
2484	area	Partur	Partur, Jalna
2485	area	Bhokardan	Bhokardan, Jalna
2487	area	Shrigonda	Shrigonda, Ahmednagar
2488	area	Parner	Parner, Ahmednagar
2489	area	Karjat	Karjat, Ahmednagar
250	area	Bassein	Bassein, Kalyan
251	area	Kalyan	Kalyan, Kalyan
2520	area	Jawahar	Jawahar, Kalyan
2521	area	Talasari	Talasari, Kalyan
2522	area	Bhiwandi	Bhiwandi, Kalyan
2524	area	Murbad	Murbad, Kalyan
2525	area	Palghar	Palghar, Kalyan
2526	area	Wada	Wada, Kalyan
2527	area	Shahapur	Shahapur, Kalyan
2528	area	Dahanu	Dahanu, Kalyan
2529	area	Mokhada	Mokhada, Kalyan
253	area	Nasikcity	Nasikcity, Nasik
2550	area	Niphad	Niphad, Nasik
2551	area	Sinnar	Sinnar, Nasik
2552	area	Nandgaon	Nandgaon, Nasik
2553	area	Igatpuri	Igatpuri, Nasik
2554	area	Malegaon	Malegaon, Nasik
2555	area	Satana	Satana, Nasik
2556	area	Chanwad	Chanwad, Nasik
2557	area	Dindori	Dindori, Nasik
2558	area	Peint	Peint, Nasik
2559	area	Yeola	Yeola, Nasik
2560	area	Kusumba	Kusumba, Dhulia
2561	area	Pimpalner	Pimpalner, Dhulia
2562	area	Dhule	Dhule, Dhulia
2563	area	Shirpur	Shirpur, Dhulia
2564	area	Nandurbar	Nandurbar, Dhulia
2565	area	Shahada	Shahada, Dhulia
2566	area	Sindkheda	Sindkheda, Dhulia
2567	area	Taloda	Taloda, Dhulia
2568	area	Sakri	Sakri, Dhulia
2569	area	Navapur	Navapur, Dhulia
257	area	Jalgaon	Jalgaon, Jalgaon
2580	area	Jamner	Jamner, Jalgaon
2582	area	Bhusawal	Bhusawal, Jalgaon
2583	area	Edalabad	Edalabad, Jalgaon
